filename,reduced
7376512_fs1_hubspotusercontent-na1_net_WORKSHOP_REPORT_Kenya_UK_PACT_Nature_Based_.txt,No
academic_oup_com_Using_International_Environmental_Law_to_Enhance_.txt,No
acode-u_org_greening_rwanda_s_economy_towards_nature_positive_.txt,Yes
afr100_org_Ghana.txt,No
afrienergyminerals_org_Assessing_the_Role_of_Legal_and_Regulatory_Framewo.txt,No
afripoli_org_Community_Resilience_Integrating_Local_Approaches_.txt,No
agra_org_KENYA_FOOD_SYSTEMS_AND_LAND_USE_ACTION_PLAN_.txt,Yes
antigo_mctic_gov_br_Fourth_National_Communication_of_Brazil_to_the_UNF.txt,Yes
apps1_unep_org_Combating_marine_plastic_litter_and_microplast.txt,Yes
apps1_unep_org_United_Nations_Environment_Assembly_of_the_.txt,Yes
archive_iwlearn_net_Barcelona_Convention_for_the_Protection_of_.txt,No
au-afrec_org_The_African_Energy_Transition_Strategy_and_Action_.txt,No
au_int_AFRICAN_UNION_CLIMATE_CHANGE_AND_RESILIENT_.txt,No
au_int_A_GLOBAL_TREATY_ON_PLASTIC_POLLUTION.txt,No
bidenwhitehouse_archives_gov_Report_on_the_Impact_of_Climate_Change_on_Migratio.txt,Yes
canari_org_Caribbean_Community_CARICOM_strategy_for_the_.txt,No
capitalscoalition_org_Natural_capital_for_biodiversity_policy_what_why_a.txt,Yes
cdn_climatepolicyradar_org_brazil_national_biodiversity_strategy_and_action_p.txt,Yes
cdn_climatepolicyradar_org_lebanon_national_biodiversity_strategy_and_action_.txt,Yes
cdn_ymaws_com_A_Companion_to_the_Short_Term_Action_Plan_on_Ecosy.txt,No
cgspace_cgiar_org_Assessing_Kenya_s_Climate_Adaptation_and_Mitigatio.txt,No
cgspace_cgiar_org_Brazil_Agriculture_and_LULUCF_Inventory_Needs_Asse.txt,No
cgspace_cgiar_org_Case_of_Ghana_CGSpace.txt,No
cgspace_cgiar_org_ONE_HEALTH_POLICY_CONTEXT_OF_ETHIOPIA_SOMALIA_.txt,No
circulareconomy_europa_eu_Sustainability_and_Circularity_in_the_Textile_Valu.txt,Yes
climatepolicyinitiative_org_Understanding_and_Increasing_Finance_for_.txt,Yes
clmeplus_org_Action_Plan_for_the_Decade_on_Ecosystem_Restoratio.txt,No
clmeplus_org_SAP_Progress_Dashboard_Datawrapper_de_.txt,No
coastal_gov_bb_Action_Plan_Roadmap.txt,Yes
commonland_com_Land_Restoration_for_Achieving_the_Sustainable_.txt,No
conbio_onlinelibrary_wiley_com_The_construction_of_biodiversity_in_conservation_p.txt,No
data_infopro_com_lb_Final_National_Report_on_Land_Degradation_Neutrali.txt,Yes
data_jncc_gov_uk_ocpp_ghana_review_of_mpa_implementation_.txt,No
dialogue_earth_A_weakened_Brazil_will_be_part_of_the_biodiversity.txt,No
dicf_unepgrid_ch_Climate_change_Cameroon.txt,No
digitalcommons_wcl_american_edu_The_Role_of_the_United_Nations_Environment_Program.txt,No
disasterdisplacement_org_ECOWAS_Regional_Climate_Strategy_RCS_And_Action_.txt,Yes
docs_un_org_DP_2024_20.txt,No
docs_un_org_Report_of_the_United_Nations_Environment_Assembly_.txt,No
docs_un_org_the_United_Nations.txt,No
docs_un_org_UNITED_NATIONS_United_Nations_Environment_.txt,No
documents1_worldbank_org_An_Overview_of_Green_Reforms_in_Country_Procuremen.txt,Yes
documents1_worldbank_org_Ghana_Climate_Change_Law_and_Development.txt,Yes
documents1_worldbank_org_Ghana_Country_Environmental_Analysis_Documents_Rep.txt,Yes
documents1_worldbank_org_Ghana_Green_Growth_PASA_CCDR_AFOLU_Background_Note.txt,Yes
documents1_worldbank_org_Reducing_wildfire_risk_through_sustainable_forest_.txt,Yes
ecotourismkenya_org_NATIONAL_WILDLIFE_STRATEGY_2030.txt,Yes
ecowap_ecowas_int_ECOWAS_ENVIRONMENTAL_ACTION_PLAN_2020_2026.txt,Yes
enb_iisd_org_Summary_report_14_18_July_2025_Earth_Negotiations_.txt,Yes
enb_iisd_org_Summary_report_25_27_February_2025.txt,Yes
enb_iisd_org_Summary_report_2_5_December_2025.txt,No
environmentalmigration_iom_int_First_Global_Report.txt,Yes
environment_ec_europa_eu_Biodiversity_Strategy_for_2030_EU_Environment.txt,No
en_wikipedia_org_Environmental_policy_in_Lebanon.txt,No
era_org_mt_National_Biodiversity_Strategy_and_Action_Plan_to_.txt,No
erepository_uonbi_ac_ke_Mitigating_the_Effects_of_Climate_Change_in_Kenya.txt,No
estatements_un_org_Biodiversity_Summit.txt,No
europepmc_org_Recommendations_for_Strengthening_the_Post_2020_Gl.txt,No
ewastemonitor_info_The_Global_E_waste_Monitor_2020.txt,Yes
faolex_fao_org_regional_model_policy_legal_framework_for_FAOLEX.txt,Yes
files_ipbes_net_BIODIVERSITY_AND_ECOSYSTEM_SERVICES_FOR_AFRICA.txt,Yes
flr_kefri_org_MINISTRY_OF_ENVIRONMENT_CLIMATE_CHANGE_AND_.txt,Yes
gca_org_Roadmap_for_Resilient_Infrastructure_in_a_Changing.txt,Yes
gefcrew_org_Contributions_of_Regional_Seas_Conventions_and_Act.txt,Yes
gefcrew_org_Fifth_Meeting_of_the_Scientific_and_Technical_Advi.txt,Yes
gefcrew_org_Implementing_the_Cartagena_Convention_Supporting_t.txt,Yes
gefcrew_org_Regional_Nutrient_Pollution_Reduction_Strategy_and.txt,Yes
gefcrew_org_Regional_Seas_Strategic_Directions_2022_2025.txt,Yes
gefcrew_org_United_Nations_Environment_Programme_Implementatio.txt,Yes
gefmed_paprac_org_Lebanon_s_National_ICZM_Strategy_Legislation_and_P.txt,Yes
gggi_org_WPB_2025_2026_Compendium_of_Business_Plans.txt,No
