filename,reduced
2021-2025_state_gov_Digital_Transformation_with_Africa.txt,No
2021-2025_state_gov_Risk_Management_Profile_for_AI_and_Human_Rights.txt,No
academic_oup_com_Solid_waste_management_in_the_context_of_the_waste.txt,No
aceiot_ur_ac_rw_A_look_into_the_development_of_University_of_Rwand.txt,No
acqf_africa_Use_of_Big_Data_and_AI_in_Green_Skills_anticipatio.txt,No
africasciencenews_org_Kenya_and_Africa_Forge_Historic_Milestone_at_UNEA_.txt,No
afwasakm_afwasa_org_CATALYSING_SUSTAINABLE_WATER_SECURITY_IN_.txt,Yes
aiforgood_itu_int_About_us_AI_for_Good_ITU.txt,No
aiforgood_itu_int_United_Nations_Environment_Programme_UNEP_AI_for_G.txt,No
aigi_ox_ac_uk_AI_BENEFIT_SHARING_FRAMEWORK_BALANCING_.txt,No
aihubfordevelopment_org_AI_Hub_for_Sustainable_Development.txt,No
akmh_uneca_org_AI_has_an_environmental_problem_Here_s_what_the_wo.txt,No
antigo_mctic_gov_br_Fourth_National_Communication_of_Brazil_to_the_UNF.txt,No
apolitical_co_Apolitical_s_100_Most_Influential_Academics_in_Gov.txt,Yes
arise_aasciences_app_aas_arise_grantees.txt,No
assets_kpmg_com_Trust_attitudes_and_use_of_artificial_intelligence.txt,Yes
assets_publishing_service_gov_uk_A_Systems_Approach_to_Air_Pollution_East_Africa.txt,Yes
axum_earth_AI_for_Africa_Use_cases_delivering_impact_Kenya_de.txt,Yes
blog_actuaries_org_uk_UN_SDGs_and_AI_Brazil_Institute_and_Faculty_of_Act.txt,No
brics_br_Artificial_intelligence_and_climate_BRICS_declarat.txt,No
cag_gov_in_GF5354_0692162f4d65f78_54532146_pdf.txt,No
careers_un_org_Transboundary_Environmental_Data_Sharing_Consultan.txt,No
carnegieendowment_org_Envisioning_a_Global_Regime_Complex_to_Govern_Arti.txt,Yes
cefic_org_Molecule_Managers.txt,No
cetic_br_The_current_scenario_of_Artificial_Intelligence_de.txt,No
climatechange_gov_rw_CCP_About_Stakeholders.txt,No
climatepromise_undp_org_How_Digital_Public_Infrastructure_can_catalyze_nat.txt,Yes
commonland_com_Land_Restoration.txt,No
cronfa_swan_ac_uk_Climate_change_and_COP26_Cronfa_Swansea_University.txt,No
dai-global-digital_com_Digital_DAI.txt,Yes
daleel-madani_org_Lebanon_National_AI_Strategy.txt,No
data_consilium_europa_eu_citizen_science_for_environmental_monitoring_Data.txt,No
dco_org_DCO_E_Waste_Management_Framework.txt,No
desapublications_un_org_E_Government_Survey_2024.txt,Yes
digitalcommons_odu_edu_Climate_change_and_COP26_ODU_Digital_Commons.txt,No
digitalleadership_com_22_Digital_Transformation_Examples_for_Companies_a.txt,No
dig_watch_Artificial_intelligence.txt,No
dig_watch_Lebanon_Digital_Transformation_Strategy_2020_2030.txt,No
dig_watch_The_Kenya_National_Digital_Master_Plan_2022_2032.txt,No
dig_watch_The_National_AI_Policy_of_Rwanda.txt,No
documents1_worldbank_org_Artificial_Intelligence_in_the_Public_Sector_World.txt,Yes
documents1_worldbank_org_Ghana_Country_Environmental_Analysis_Documents_Rep.txt,Yes
documents1_worldbank_org_Lebanon_Digital_Acceleration_Project_P506791_.txt,No
documents1_worldbank_org_P506791_6d1439ac_240a_49e5_a0c6_9373fd5b215d_docx.txt,No
documents1_worldbank_org_Rwanda_Digital_Acceleration_Project_World_Bank_Doc.txt,Yes
documents1_worldbank_org_The_World_Bank_Annual_Report_2018.txt,Yes
documents1_worldbank_org_World_Development_Report_2021_Data_for_Better_Live.txt,Yes
ecdpm_org_How_AI_can_benefit_smallholder_farmers_in_Africa.txt,Yes
enb_iisd_org_Summary_report_14_18_July_2025_Earth_Negotiations_.txt,Yes
enmaeya_com_Lebanon_to_Invest_Up_to_50_Million_in_AI_Digital_T.txt,No
environmentalmigration_iom_int_First_Global_Report.txt,Yes
en_brigc_net_Green_Development_Guidance_for_BRI_Projects_Baseli.txt,No
eprints_qut_edu_au_Digital_Technologies_for_Urban_Metabolism_Efficien.txt,No
executiveboard_wfp_org_EXTRACTS_OF_THE_WFP_MANAGEMENT_PLAN_2025_.txt,Yes
faolex_fao_org_AU_Digital_Agriculture_Strategy_DAS_and_Implementa.txt,Yes
faolex_fao_org_GOVERNMENT_REPUBLIC_OF_SUDAN_Ministry_of_.txt,Yes
file-rangpur_portal_gov_bd_National_Strategy_for_Artificial_Intelligence_Bang.txt,No
